Code	Name	AHo	AHp	AHq	AHr	CCD	CCO	HST	ITR	NS	QQ	QR	SCL	WCd	WCr	WC	W
01:013:130	COMICS IN THE MIDDLE EAST							✓									
01:013:201	CLASSICAL LITERATURES OF AFRICA, THE MIDDLE EAST, AND SOUTH ASIA	✓	✓														
01:013:203	LANGUAGE & SOCIETY IN AFRICA, THE MIDDLEEAST, AND SOUTH ASIA	✓		✓													
01:013:205	CULTURAL FORCES IN INTERNATIONAL POLITICS					✓											
01:013:210	WORLD LITERATURE AND SOCIAL CHANGE	✓	✓														
01:013:217	AFRICAN IMMIGRANT LITERATURE					✓		✓									
01:013:221	INTRODUCTION TO THE LITERATURES OF THE MIDDLE EAST	✓	✓														
01:013:231	INTRO LIT OF SO ASIA	✓	✓														
01:013:241	INTERMEDIATE ARABIC II			✓													
01:013:261	INTERMEDIATE HINDI II			✓													
01:013:277	INTERMEDIATE PERSIAN II			✓													
01:013:285	LANGUAGE AND GLOBALIZATION					✓	✓										
01:013:289	CULTURE OF LADINO: AN INTRODUCTION			✓													
01:013:291	INTERMEDIATE TURKISH II			✓													
01:013:304	INTRODUCTION TO TRANSLATION STUDIES					✓											
01:013:305	LANGUAGES IN PERIL						✓		✓								
01:013:307	INTRODUCTION TO POSTCOLONIAL LITERATURESAND THEORIES	✓	✓			✓	✓										
01:013:311	WOMEN WRITERS OF AFRICA		✓			✓											
01:013:325	WOMEN WRITERS OF THE ARAB WORLD		✓			✓											
01:013:346	LITERATURE AND MEMORY IN THE ARAB WORLD	✓	✓														
01:013:401	SENIOR SEMINAR IN LITERATURE AND SOCIETY													✓			
01:014:103	INTRODUCTION TO AFRICANA STUDIES					✓											
01:014:203	BLACK EXPERIENCE IN AMERICA					✓											
01:014:207	BLACK MALE IDENTITY IN THE UNITED STATES					✓											
01:014:353	BLACK COMMUNITY LAW AND SOCIAL CHANGE					✓											
01:014:490	SEMINAR IN AFRICANA STUDIES													✓	✓		
01:016:363	WOMEN WRITERS OF AFRICA		✓			✓											
01:050:101	INTRODUCTION TO AMERICAN STUDIES	✓	✓														
